country_ch,country_en,cases,deaths
不丹,Bhutan,"62,331",21
敘利亞,Syria,"57,354","3,163"
蒲隆地,Burundi,"50,470",38
塞席爾,Seychelles,"49,035",171
加彭,Gabon,"48,914",306
安道爾,Andorra,"46,535",155
巴布亞紐幾內亞,Papua New Guinea,"45,393",668
坦尚尼亞,Tanzania,"39,804",845
多哥,Togo,"39,293",290
幾內亞,Guinea,"38,047",456
巴哈馬,Bahamas,"37,364",833
賴索托,Lesotho,"34,490",706
海地,Haiti,"33,764",857
馬利,Mali,"32,722",742
聖露西亞,Saint Lucia,"29,550",404
貝南,Benin,"27,782",163
剛果共和國,Congo,"24,837",386
東帝汶,East Timor,"23,300",138
密克羅尼西亞聯邦,Micronesia,"21,815",55
布吉納法索,Burkina Faso,"21,631",387
聖馬利諾,San Marino,"21,544",119
索羅門群島,Solomon islands,"21,544",153
列支敦斯登,Liechtenstein,"20,582",86
格瑞那達,Grenada,"19,536",237
索馬利亞,Somalia,"18,863",930
南蘇丹,South Sudan,"17,823",138
塔吉克,Tajikistan,"17,786",125
赤道幾內亞,Equatorial Guinea,"17,153",183
東加,Tonga,"16,182",12
薩摩亞,Samoa,"15,946",29
多米尼克,Dominica,"15,760",74
吉布地,Djibouti,"15,690",189
馬紹爾群島,Marshall Islands,"15,389",17
中非,Central Africa,"15,229",113
尼加拉瓜,Nicaragua,"15,166",245
摩納哥,Monaco,"14,926",63
甘比亞,Gambia,"12,508",372
萬那杜,Vanuatu,"11,951",14
葉門,Yemen,"11,939","2,158"
索馬利蘭,Somaliland,"10,577",619
厄利垂亞,Eritrea,"10,187",103
尼日,Niger,"9,931",312
安地卡及巴布達,Antigua and Barbuda,"9,106",146
幾內亞比索,Guinea-Bissau,"8,848",176
葛摩,Comoros,"8,672",161
賴比瑞亞,Liberia,"7,988",294
獅子山,Sierra Leone,"7,752",126
查德,Chad,"7,620",194
聖文森及格瑞那丁,Saint Vincent and the Grenadines,"7,112",115
聖克里斯多福及尼維斯,Saint Kitts and Nevis,"6,548",46
庫克群島,Cook Islands,"6,389",1
聖多美普林西比,Sao Tome and Principe,"6,263",77
帛琉,Palau,"5,509",7
諾魯,Nauru,"4,610",1
吉里巴斯,Kiribati,"3,430",13
澳門,Macao,793,6
國際運輸工具(鑽石公主號),Int'l conveyance (Japan),741,13
紐埃,Niue,85,0
教廷,Holy See,29,0
吐瓦魯,Tuvalu,23,0
北韓,North Korea,2,1
